[train_hs7] 1v2 room+ramp obs=33 steps=20000000 s2=0-0 hidden=256 saving to hs_ramp_*.pt
[train_hs7] hider: warm-started from hs_ramp_w_hider.pt (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=256)
Iter 109 | Steps 892928 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.348  hid=0.67 (22ep) | seeker=-0.448  hid=0.72 (22ep) | barr=0.16 elev=0.20 rlock=0.07
Iter 110 | Steps 901120 | Pools h=2 s=2 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.702  hid=0.85 (22ep) | seeker=-0.553  hid=0.78 (22ep) | barr=0.09 elev=0.12 rlock=0.09
Iter 111 | Steps 909312 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.529  hid=0.76 (22ep) | seeker=-0.570  hid=0.79 (22ep) | barr=0.14 elev=0.16 rlock=0.16
Iter 112 | Steps 917504 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.317  hid=0.66 (22ep) | seeker=-0.284  hid=0.64 (22ep) | barr=0.16 elev=0.18 rlock=0.09
Iter 113 | Steps 925696 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.550  hid=0.77 (22ep) | seeker=-0.525  hid=0.76 (22ep) | barr=0.09 elev=0.16 rlock=0.11
Iter 114 | Steps 933888 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.556  hid=0.78 (22ep) | seeker=-0.439  hid=0.72 (22ep) | barr=0.11 elev=0.14 rlock=0.18
Iter 115 | Steps 942080 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.557  hid=0.78 (22ep) | seeker=-0.401  hid=0.70 (22ep) | barr=0.11 elev=0.22 rlock=0.07
Iter 116 | Steps 950272 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.577  hid=0.79 (22ep) | seeker=-0.601  hid=0.80 (22ep) | barr=0.11 elev=0.13 rlock=0.02
Iter 117 | Steps 958464 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.541  hid=0.77 (22ep) | seeker=-0.546  hid=0.77 (22ep) | barr=0.09 elev=0.18 rlock=0.02
Iter 118 | Steps 966656 | Pools h=2 s=2 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.372  hid=0.69 (22ep) | seeker=-0.447  hid=0.72 (22ep) | barr=0.05 elev=0.25 rlock=0.14
