[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=40000000 s2=6000000-12000000 hidden=256
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:216: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 55 | Steps 440000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.728  hid=0.86 (20ep) | seeker=-0.835  hid=0.92 (20ep) | barr=0.23 elev=0.21 rlock=0.00
Iter 56 | Steps 448000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.820  hid=0.91 (20ep) | seeker=-0.877  hid=0.94 (20ep) | barr=0.33 elev=0.15 rlock=0.00
Iter 57 | Steps 456000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.631  hid=0.82 (20ep) | seeker=-0.598  hid=0.80 (20ep) | barr=0.10 elev=0.08 rlock=0.07
Iter 58 | Steps 464000 | Pools h=3 s=3 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.829  hid=0.91 (20ep) | seeker=-0.817  hid=0.91 (20ep) | barr=0.15 elev=0.22 rlock=0.03
Iter 59 | Steps 472000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.758  hid=0.88 (20ep) | seeker=-0.793  hid=0.90 (20ep) | barr=0.12 elev=0.13 rlock=0.05
Iter 60 | Steps 480000 | Pools h=3 s=3 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.475  hid=0.74 (20ep) | seeker=-0.835  hid=0.92 (20ep) | barr=0.07 elev=0.08 rlock=0.07
Iter 61 | Steps 488000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.584  hid=0.79 (20ep) | seeker=-0.634  hid=0.82 (20ep) | barr=0.10 elev=0.14 rlock=0.05
Iter 62 | Steps 496000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.746  hid=0.87 (20ep) | seeker=-0.770  hid=0.89 (20ep) | barr=0.17 elev=0.12 rlock=0.10
Iter 63 | Steps 504000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.740  hid=0.87 (20ep) | seeker=-0.831  hid=0.92 (20ep) | barr=0.05 elev=0.13 rlock=0.10
Iter 64 | Steps 512000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.759  hid=0.88 (20ep) | seeker=-0.881  hid=0.94 (20ep) | barr=0.20 elev=0.09 rlock=0.07
Iter 65 | Steps 520000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.819  hid=0.91 (20ep) | seeker=-0.751  hid=0.88 (20ep) | barr=0.15 elev=0.12 rlock=0.00
Iter 66 | Steps 528000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.616  hid=0.81 (20ep) | seeker=-0.884  hid=0.94 (20ep) | barr=0.07 elev=0.15 rlock=0.03
Iter 67 | Steps 536000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.814  hid=0.91 (20ep) | seeker=-0.908  hid=0.95 (20ep) | barr=0.17 elev=0.07 rlock=0.10
Iter 68 | Steps 544000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.787  hid=0.89 (20ep) | seeker=-0.967  hid=0.98 (20ep) | barr=0.17 elev=0.13 rlock=0.05
Iter 69 | Steps 552000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.739  hid=0.87 (20ep) | seeker=-0.817  hid=0.91 (20ep) | barr=0.10 elev=0.06 rlock=0.05
Iter 70 | Steps 560000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.883  hid=0.94 (20ep) | seeker=-0.920  hid=0.96 (20ep) | barr=0.20 elev=0.19 rlock=0.05
Iter 71 | Steps 568000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.99 | hider=+0.834  hid=0.92 (20ep) | seeker=-0.810  hid=0.90 (20ep) | barr=0.20 elev=0.09 rlock=0.03
Iter 72 | Steps 576000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.838  hid=0.92 (20ep) | seeker=-0.893  hid=0.95 (20ep) | barr=0.15 elev=0.13 rlock=0.05
Iter 73 | Steps 584000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.715  hid=0.86 (20ep) | seeker=-0.712  hid=0.86 (20ep) | barr=0.15 elev=0.05 rlock=0.05
Iter 74 | Steps 592000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.826  hid=0.91 (20ep) | seeker=-0.495  hid=0.75 (20ep) | barr=0.07 elev=0.18 rlock=0.10
Iter 75 | Steps 600000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.438  hid=0.72 (20ep) | seeker=-0.575  hid=0.79 (20ep) | barr=0.10 elev=0.09 rlock=0.12
Iter 76 | Steps 608000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.543  hid=0.77 (20ep) | seeker=-0.780  hid=0.89 (20ep) | barr=0.15 elev=0.14 rlock=0.15
Iter 77 | Steps 616000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.616  hid=0.81 (20ep) | seeker=-0.830  hid=0.91 (20ep) | barr=0.20 elev=0.13 rlock=0.10
Iter 78 | Steps 624000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.744  hid=0.87 (20ep) | seeker=-0.816  hid=0.91 (20ep) | barr=0.07 elev=0.12 rlock=0.03
Iter 79 | Steps 632000 | Pools h=4 s=4 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.683  hid=0.84 (20ep) | seeker=-0.796  hid=0.90 (20ep) | barr=0.17 elev=0.17 rlock=0.00
Iter 80 | Steps 640000 | Pools h=4 s=4 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.716  hid=0.86 (20ep) | seeker=-0.725  hid=0.86 (20ep) | barr=0.10 elev=0.11 rlock=0.20
Iter 81 | Steps 648000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.838  hid=0.92 (20ep) | seeker=-0.716  hid=0.86 (20ep) | barr=0.05 elev=0.16 rlock=0.07
Iter 82 | Steps 656000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.888  hid=0.94 (20ep) | seeker=-0.735  hid=0.87 (20ep) | barr=0.23 elev=0.14 rlock=0.05
