[train_hs7] room+ramp 1v1 obs=28 steps=40000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: fresh net (hidden=256)
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 74 | Steps 151552 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.993  hid=1.00 (5ep) | seeker=-0.954  hid=0.98 (5ep) | barr=0.20 elev=0.02 rlock=0.10
Iter 75 | Steps 153600 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.876  hid=0.94 (5ep) | seeker=+0.194  hid=0.40 (5ep) | barr=0.00 elev=0.04 rlock=0.10
Iter 76 | Steps 155648 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.891  hid=0.95 (5ep) | barr=0.30 elev=0.03 rlock=0.00
Iter 77 | Steps 157696 | Pools h=1 s=1 | pR=1.00 | std h=0.95 s=0.98 | hider=+0.791  hid=0.90 (5ep) | seeker=-0.846  hid=0.92 (5ep) | barr=0.30 elev=0.09 rlock=0.00
Iter 78 | Steps 159744 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.652  hid=0.83 (5ep) | seeker=-0.631  hid=0.82 (5ep) | barr=0.00 elev=0.11 rlock=0.20
Iter 79 | Steps 161792 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.254  hid=0.63 (5ep) | seeker=-0.600  hid=0.80 (5ep) | barr=0.10 elev=0.03 rlock=0.10
Iter 80 | Steps 163840 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.920  hid=0.96 (5ep) | seeker=-0.970  hid=0.99 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 81 | Steps 165888 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.720  hid=0.86 (5ep) | seeker=-0.683  hid=0.84 (5ep) | barr=0.00 elev=0.01 rlock=0.10
Iter 82 | Steps 167936 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.98 | hider=+0.933  hid=0.97 (5ep) | seeker=-0.715  hid=0.86 (5ep) | barr=0.20 elev=0.03 rlock=0.00
Iter 83 | Steps 169984 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.587  hid=0.79 (5ep) | seeker=-0.861  hid=0.93 (5ep) | barr=0.00 elev=0.01 rlock=0.10
Iter 84 | Steps 172032 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.861  hid=0.93 (5ep) | seeker=-0.537  hid=0.77 (5ep) | barr=0.10 elev=0.13 rlock=0.00
Iter 85 | Steps 174080 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.850  hid=0.93 (5ep) | seeker=-0.781  hid=0.89 (5ep) | barr=0.20 elev=0.09 rlock=0.00
Iter 86 | Steps 176128 | Pools h=1 s=1 | pR=1.00 | std h=0.95 s=0.97 | hider=+0.722  hid=0.86 (5ep) | seeker=-0.646  hid=0.82 (5ep) | barr=0.30 elev=0.14 rlock=0.00
Iter 87 | Steps 178176 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.028  hid=0.51 (5ep) | seeker=-0.691  hid=0.85 (5ep) | barr=0.30 elev=0.04 rlock=0.10
Iter 88 | Steps 180224 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.898  hid=0.95 (5ep) | seeker=-0.876  hid=0.94 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 89 | Steps 182272 | Pools h=1 s=1 | pR=1.00 | std h=0.95 s=0.97 | hider=+0.815  hid=0.91 (5ep) | seeker=-0.854  hid=0.93 (5ep) | barr=0.10 elev=0.02 rlock=0.00
Iter 90 | Steps 184320 | Pools h=1 s=1 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.839  hid=0.92 (5ep) | seeker=-0.565  hid=0.78 (5ep) | barr=0.10 elev=0.06 rlock=0.00
Iter 91 | Steps 186368 | Pools h=1 s=1 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.913  hid=0.96 (5ep) | seeker=-0.956  hid=0.98 (5ep) | barr=0.10 elev=0.05 rlock=0.00
Iter 92 | Steps 188416 | Pools h=1 s=1 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.659  hid=0.83 (5ep) | barr=0.10 elev=0.11 rlock=0.00
Iter 93 | Steps 190464 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.948  hid=0.97 (5ep) | seeker=-0.950  hid=0.97 (5ep) | barr=0.20 elev=0.01 rlock=0.10
Iter 94 | Steps 192512 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.935  hid=0.97 (5ep) | seeker=-0.587  hid=0.79 (5ep) | barr=0.10 elev=0.01 rlock=0.00
Iter 95 | Steps 194560 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.933  hid=0.97 (5ep) | seeker=-0.765  hid=0.88 (5ep) | barr=0.10 elev=0.06 rlock=0.00
Iter 96 | Steps 196608 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.869  hid=0.93 (5ep) | seeker=-0.772  hid=0.89 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 97 | Steps 198656 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.744  hid=0.87 (5ep) | seeker=-0.948  hid=0.97 (5ep) | barr=0.20 elev=0.07 rlock=0.10
