[arc] layout=roomt seeker_speed=1.4x DOOR_Y=148.0 FAR_Y=105.0 | 10 envs x 800 = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[arc] warm-started hider from hs_roomt_hider.pt
[arc] warm-started seeker from hs_lstm_seeker.pt
Iter 98 | Steps 784000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.672  hid=0.84 (20ep) | seeker=-0.913  hid=0.96 (20ep) | barr=0.45 elev=0.07 rlock=0.03
Iter 99 | Steps 792000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.925  hid=0.96 (20ep) | seeker=-0.690  hid=0.85 (20ep) | barr=0.33 elev=0.06 rlock=0.07
Iter 100 | Steps 800000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.887  hid=0.94 (20ep) | seeker=-0.743  hid=0.87 (20ep) | barr=0.62 elev=0.07 rlock=0.03
Iter 101 | Steps 808000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.756  hid=0.88 (20ep) | seeker=-0.825  hid=0.91 (20ep) | barr=0.45 elev=0.07 rlock=0.07
Iter 102 | Steps 816000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.911  hid=0.96 (20ep) | seeker=-0.589  hid=0.79 (20ep) | barr=0.57 elev=0.06 rlock=0.03
Iter 103 | Steps 824000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.869  hid=0.93 (20ep) | seeker=-0.904  hid=0.95 (20ep) | barr=0.62 elev=0.08 rlock=0.05
Iter 104 | Steps 832000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.871  hid=0.94 (20ep) | seeker=-0.828  hid=0.91 (20ep) | barr=0.50 elev=0.05 rlock=0.03
Iter 105 | Steps 840000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.704  hid=0.85 (20ep) | seeker=-0.798  hid=0.90 (20ep) | barr=0.53 elev=0.11 rlock=0.05
Iter 106 | Steps 848000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.945  hid=0.97 (20ep) | seeker=-0.814  hid=0.91 (20ep) | barr=0.40 elev=0.04 rlock=0.05
Iter 107 | Steps 856000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.64 | hider=+0.783  hid=0.89 (20ep) | seeker=-0.873  hid=0.94 (20ep) | barr=0.53 elev=0.05 rlock=0.10
Iter 108 | Steps 864000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.856  hid=0.93 (20ep) | seeker=-0.763  hid=0.88 (20ep) | barr=0.55 elev=0.13 rlock=0.05
Iter 109 | Steps 872000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=1.00 s=0.63 | hider=+0.772  hid=0.89 (20ep) | seeker=-0.772  hid=0.89 (20ep) | barr=0.53 elev=0.07 rlock=0.03
Iter 110 | Steps 880000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=1.00 s=0.64 | hider=+0.919  hid=0.96 (20ep) | seeker=-0.815  hid=0.91 (20ep) | barr=0.62 elev=0.03 rlock=0.00
Iter 111 | Steps 888000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=1.00 s=0.64 | hider=+0.877  hid=0.94 (20ep) | seeker=-0.821  hid=0.91 (20ep) | barr=0.45 elev=0.09 rlock=0.03
Iter 112 | Steps 896000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=1.00 s=0.64 | hider=+0.750  hid=0.88 (20ep) | seeker=-0.783  hid=0.89 (20ep) | barr=0.45 elev=0.09 rlock=0.05
