[train_hs2] 2v2 layout=open boxes=6 obs=55 steps=10000000 saving to hs_2v2_*.pt
Iter 115 | Steps 235520 | Pools h=8 s=8 | hider=-0.944  hid=0.03 (8ep) | seeker=+0.759  hid=0.12 (8ep)
Iter 116 | Steps 237568 | Pools h=8 s=8 | hider=-0.891  hid=0.05 (8ep) | seeker=+0.628  hid=0.19 (8ep)
Iter 117 | Steps 239616 | Pools h=8 s=8 | hider=-1.000  hid=0.00 (8ep) | seeker=+0.714  hid=0.14 (8ep)
Iter 118 | Steps 241664 | Pools h=8 s=8 | hider=-0.682  hid=0.16 (8ep) | seeker=+0.766  hid=0.12 (8ep)
Iter 119 | Steps 243712 | Pools h=8 s=8 | hider=-0.868  hid=0.07 (8ep) | seeker=+0.901  hid=0.05 (8ep)
Iter 120 | Steps 245760 | Pools h=8 s=8 | hider=-0.564  hid=0.22 (8ep) | seeker=+0.783  hid=0.11 (8ep)
Iter 121 | Steps 247808 | Pools h=8 s=8 | hider=-0.634  hid=0.18 (8ep) | seeker=+0.936  hid=0.03 (8ep)
Iter 122 | Steps 249856 | Pools h=8 s=8 | hider=-0.689  hid=0.16 (8ep) | seeker=+0.908  hid=0.05 (8ep)
Iter 123 | Steps 251904 | Pools h=8 s=8 | hider=-0.806  hid=0.10 (8ep) | seeker=+0.990  hid=0.01 (8ep)
Iter 124 | Steps 253952 | Pools h=8 s=8 | hider=-0.708  hid=0.15 (8ep) | seeker=+0.948  hid=0.03 (8ep)
Iter 125 | Steps 256000 | Pools h=8 s=8 | hider=-0.849  hid=0.08 (8ep) | seeker=+0.913  hid=0.04 (8ep)
Iter 126 | Steps 258048 | Pools h=8 s=8 | hider=-0.917  hid=0.04 (8ep) | seeker=+0.863  hid=0.07 (8ep)
Iter 127 | Steps 260096 | Pools h=8 s=8 | hider=-0.892  hid=0.05 (8ep) | seeker=+0.882  hid=0.06 (8ep)
Iter 128 | Steps 262144 | Pools h=8 s=8 | hider=-0.908  hid=0.05 (8ep) | seeker=+0.910  hid=0.05 (8ep)
Iter 129 | Steps 264192 | Pools h=8 s=8 | hider=-0.845  hid=0.08 (8ep) | seeker=+0.792  hid=0.10 (8ep)
Iter 130 | Steps 266240 | Pools h=8 s=8 | hider=-0.658  hid=0.17 (8ep) | seeker=+0.733  hid=0.13 (8ep)
Iter 131 | Steps 268288 | Pools h=8 s=8 | hider=-0.913  hid=0.04 (8ep) | seeker=+0.724  hid=0.14 (8ep)
Iter 132 | Steps 270336 | Pools h=8 s=8 | hider=-0.979  hid=0.01 (8ep) | seeker=+0.635  hid=0.18 (8ep)
Iter 133 | Steps 272384 | Pools h=8 s=8 | hider=-0.550  hid=0.22 (8ep) | seeker=+0.733  hid=0.13 (8ep)
Iter 134 | Steps 274432 | Pools h=8 s=8 | hider=-0.726  hid=0.14 (8ep) | seeker=+0.821  hid=0.09 (8ep)
Iter 135 | Steps 276480 | Pools h=8 s=8 | hider=-0.891  hid=0.05 (8ep) | seeker=+0.682  hid=0.16 (8ep)
Iter 136 | Steps 278528 | Pools h=8 s=8 | hider=-0.911  hid=0.04 (8ep) | seeker=+0.858  hid=0.07 (8ep)
Iter 137 | Steps 280576 | Pools h=8 s=8 | hider=-0.689  hid=0.16 (8ep) | seeker=+0.736  hid=0.13 (8ep)
Iter 138 | Steps 282624 | Pools h=8 s=8 | hider=-0.847  hid=0.08 (8ep) | seeker=+0.578  hid=0.21 (8ep)
Iter 139 | Steps 284672 | Pools h=8 s=8 | hider=-0.802  hid=0.10 (8ep) | seeker=+0.748  hid=0.13 (8ep)
Iter 140 | Steps 286720 | Pools h=8 s=8 | hider=-0.757  hid=0.12 (8ep) | seeker=+0.693  hid=0.15 (8ep)
