Steps: 600064 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 602112 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 604160 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 606208 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 608256 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 610304 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 612352 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 614400 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 616448 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 618496 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 620544 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 622592 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 624640 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 626688 | Eps: 14 | hider=   +1.5  | seeker=   -1.5 
Steps: 628736 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 630784 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 632832 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 634880 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 636928 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 638976 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 641024 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 643072 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 645120 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 647168 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 649216 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 651264 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 653312 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 655360 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 657408 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 659456 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 661504 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 663552 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 665600 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 667648 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 669696 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 671744 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 673792 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 675840 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 677888 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 679936 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 681984 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 684032 | Eps: 14 | hider=   +1.5  | seeker=   -1.5 
Steps: 686080 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 688128 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 690176 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 692224 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 694272 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 696320 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 698368 | Eps: 13 | hider=   +1.5  | seeker=   -1.5 
Steps: 700416 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 702464 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 704512 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 706560 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 708608 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 710656 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 712704 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 714752 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 716800 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 718848 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 720896 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 722944 | Eps: 12 | hider=   +1.6  | seeker=   -1.6 
Steps: 724992 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 727040 | Eps: 10 | hider=   +1.8  | seeker=   -1.8 
Steps: 729088 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 731136 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 733184 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 735232 | Eps: 13 | hider=   +1.7  | seeker=   -1.7 
Steps: 737280 | Eps: 8 | hider=   +2.4  | seeker=   -2.4 
Steps: 739328 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 741376 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 743424 | Eps: 15 | hider=   +1.3  | seeker=   -1.3 
Steps: 745472 | Eps: 15 | hider=   +1.4  | seeker=   -1.4 
Steps: 747520 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 749568 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 751616 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 753664 | Eps: 14 | hider=   +1.5  | seeker=   -1.5 
