[train_hs7] room+ramp 1v1 obs=28 steps=12000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=128)
[train_hs7] best-response mode: training hider only, opponent fixed
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 74 | Steps 151552 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.746  hid=0.87 (5ep) | barr=0.20 elev=0.02 rlock=0.40
Iter 75 | Steps 153600 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.328  hid=0.66 (5ep) | barr=0.40 elev=0.05 rlock=0.20
Iter 76 | Steps 155648 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.648  hid=0.82 (5ep) | barr=0.00 elev=0.02 rlock=0.20
Iter 77 | Steps 157696 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.850  hid=0.93 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 78 | Steps 159744 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.830  hid=0.91 (5ep) | barr=0.40 elev=0.01 rlock=0.00
Iter 79 | Steps 161792 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.600  hid=0.80 (5ep) | barr=0.20 elev=0.00 rlock=0.20
Iter 80 | Steps 163840 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.646  hid=0.82 (5ep) | barr=0.20 elev=0.23 rlock=0.00
Iter 81 | Steps 165888 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.796  hid=0.90 (5ep) | barr=0.00 elev=0.10 rlock=0.00
Iter 82 | Steps 167936 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.807  hid=0.90 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 83 | Steps 169984 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.015  hid=0.51 (5ep) | barr=0.60 elev=0.09 rlock=0.20
Iter 84 | Steps 172032 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.73 | hider=-0.080  hid=0.46 (5ep) | barr=0.00 elev=0.27 rlock=0.20
Iter 85 | Steps 174080 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.981  hid=0.99 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 86 | Steps 176128 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.600  hid=0.80 (5ep) | barr=0.00 elev=0.02 rlock=0.20
Iter 87 | Steps 178176 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.531  hid=0.77 (5ep) | barr=0.40 elev=0.00 rlock=0.40
Iter 88 | Steps 180224 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.991  hid=1.00 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 89 | Steps 182272 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.861  hid=0.93 (5ep) | barr=0.40 elev=0.04 rlock=0.00
Iter 90 | Steps 184320 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.398  hid=0.70 (5ep) | barr=0.40 elev=0.21 rlock=0.20
Iter 91 | Steps 186368 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.435  hid=0.72 (5ep) | barr=0.20 elev=0.07 rlock=0.00
Iter 92 | Steps 188416 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.367  hid=0.68 (5ep) | barr=0.00 elev=0.02 rlock=0.40
Iter 93 | Steps 190464 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.565  hid=0.78 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 94 | Steps 192512 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.970  hid=0.99 (5ep) | barr=0.20 elev=0.14 rlock=0.00
Iter 95 | Steps 194560 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 96 | Steps 196608 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.20 elev=0.05 rlock=0.00
Iter 97 | Steps 198656 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.920  hid=0.96 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 98 | Steps 200704 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.700  hid=0.85 (5ep) | barr=0.20 elev=0.16 rlock=0.00
Iter 99 | Steps 202752 | Pools h=1 s=1 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.857  hid=0.93 (5ep) | barr=0.00 elev=0.10 rlock=0.00
Iter 100 | Steps 204800 | Pools h=1 s=1 | pR=1.00 | std h=0.97 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 101 | Steps 206848 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.869  hid=0.93 (5ep) | barr=0.20 elev=0.09 rlock=0.00
Iter 102 | Steps 208896 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.637  hid=0.82 (5ep) | barr=0.00 elev=0.09 rlock=0.20
Iter 103 | Steps 210944 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.470  hid=0.74 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 104 | Steps 212992 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.983  hid=0.99 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 105 | Steps 215040 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.774  hid=0.89 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 106 | Steps 217088 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.807  hid=0.90 (5ep) | barr=0.00 elev=0.09 rlock=0.20
Iter 107 | Steps 219136 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.120  hid=0.56 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 108 | Steps 221184 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.876  hid=0.94 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 109 | Steps 223232 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.774  hid=0.89 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 110 | Steps 225280 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.865  hid=0.93 (5ep) | barr=0.20 elev=0.05 rlock=0.00
Iter 111 | Steps 227328 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+1.000  hid=1.00 (5ep) | barr=0.40 elev=0.00 rlock=0.20
Iter 112 | Steps 229376 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.976  hid=0.99 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 113 | Steps 231424 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.665  hid=0.83 (5ep) | barr=0.20 elev=0.17 rlock=0.20
Iter 114 | Steps 233472 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.619  hid=0.81 (5ep) | barr=0.00 elev=0.13 rlock=0.00
Iter 115 | Steps 235520 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.333  hid=0.67 (5ep) | barr=0.20 elev=0.12 rlock=0.60
Iter 116 | Steps 237568 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.426  hid=0.71 (5ep) | barr=0.20 elev=0.04 rlock=0.20
Iter 117 | Steps 239616 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.576  hid=0.79 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 118 | Steps 241664 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.820  hid=0.91 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 119 | Steps 243712 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.906  hid=0.95 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 120 | Steps 245760 | Pools h=2 s=2 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.494  hid=0.75 (5ep) | barr=0.20 elev=0.00 rlock=0.40
Iter 121 | Steps 247808 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.498  hid=0.75 (5ep) | barr=0.20 elev=0.09 rlock=0.20
Iter 122 | Steps 249856 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.269  hid=0.63 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 123 | Steps 251904 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.598  hid=0.80 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 124 | Steps 253952 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.893  hid=0.95 (5ep) | barr=0.00 elev=0.03 rlock=0.20
Iter 125 | Steps 256000 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.887  hid=0.94 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 126 | Steps 258048 | Pools h=2 s=2 | pR=1.00 | std h=0.99 s=0.73 | hider=+0.794  hid=0.90 (5ep) | barr=0.60 elev=0.02 rlock=0.00
Iter 127 | Steps 260096 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.780  hid=0.89 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 128 | Steps 262144 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.452  hid=0.73 (5ep) | barr=0.20 elev=0.00 rlock=0.20
Iter 129 | Steps 264192 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.330  hid=0.66 (5ep) | barr=0.20 elev=0.11 rlock=0.00
Iter 130 | Steps 266240 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.619  hid=0.81 (5ep) | barr=0.40 elev=0.08 rlock=0.00
