[train_hs7_lstm] 1v2 room+ramp LSTM obs=33 steps=40000000 s2=6000000-12000000 hidden=256 rollout=8192 -> hs_lstm_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm.py:191: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 73 | Steps 598016 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.750  hid=0.88 (22ep) | seeker=-0.814  hid=0.91 (22ep) | barr=0.20 elev=0.09 rlock=0.05
Iter 74 | Steps 606208 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.673  hid=0.84 (22ep) | seeker=-0.827  hid=0.91 (22ep) | barr=0.07 elev=0.11 rlock=0.05
Iter 75 | Steps 614400 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.944  hid=0.97 (22ep) | seeker=-0.894  hid=0.95 (22ep) | barr=0.20 elev=0.12 rlock=0.09
Iter 76 | Steps 622592 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.771  hid=0.89 (22ep) | seeker=-0.783  hid=0.89 (22ep) | barr=0.07 elev=0.11 rlock=0.07
Iter 77 | Steps 630784 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.741  hid=0.87 (22ep) | seeker=-0.790  hid=0.89 (22ep) | barr=0.11 elev=0.03 rlock=0.07
Iter 78 | Steps 638976 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.663  hid=0.83 (22ep) | seeker=-0.741  hid=0.87 (22ep) | barr=0.09 elev=0.17 rlock=0.11
Iter 79 | Steps 647168 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.720  hid=0.86 (22ep) | seeker=-0.874  hid=0.94 (22ep) | barr=0.16 elev=0.09 rlock=0.05
Iter 80 | Steps 655360 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.861  hid=0.93 (22ep) | seeker=-0.684  hid=0.84 (22ep) | barr=0.14 elev=0.04 rlock=0.09
Iter 81 | Steps 663552 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.495  hid=0.75 (22ep) | seeker=-0.629  hid=0.81 (22ep) | barr=0.23 elev=0.18 rlock=0.05
Iter 82 | Steps 671744 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.737  hid=0.87 (22ep) | seeker=-0.862  hid=0.93 (22ep) | barr=0.14 elev=0.19 rlock=0.09
Iter 83 | Steps 679936 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.748  hid=0.87 (22ep) | seeker=-0.713  hid=0.86 (22ep) | barr=0.14 elev=0.07 rlock=0.14
Iter 84 | Steps 688128 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.791  hid=0.90 (22ep) | seeker=-0.816  hid=0.91 (22ep) | barr=0.14 elev=0.06 rlock=0.07
Iter 85 | Steps 696320 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.648  hid=0.82 (22ep) | seeker=-0.698  hid=0.85 (22ep) | barr=0.14 elev=0.09 rlock=0.07
Iter 86 | Steps 704512 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.867  hid=0.93 (22ep) | seeker=-0.608  hid=0.80 (22ep) | barr=0.14 elev=0.09 rlock=0.14
Iter 87 | Steps 712704 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.633  hid=0.82 (22ep) | seeker=-0.588  hid=0.79 (22ep) | barr=0.07 elev=0.05 rlock=0.05
Iter 88 | Steps 720896 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.755  hid=0.88 (22ep) | seeker=-0.831  hid=0.92 (22ep) | barr=0.18 elev=0.10 rlock=0.05
Iter 89 | Steps 729088 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.806  hid=0.90 (22ep) | seeker=-0.893  hid=0.95 (22ep) | barr=0.14 elev=0.15 rlock=0.09
Iter 90 | Steps 737280 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.771  hid=0.89 (22ep) | seeker=-0.561  hid=0.78 (22ep) | barr=0.14 elev=0.17 rlock=0.07
Iter 91 | Steps 745472 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.633  hid=0.82 (22ep) | seeker=-0.638  hid=0.82 (22ep) | barr=0.05 elev=0.09 rlock=0.00
Iter 92 | Steps 753664 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.625  hid=0.81 (22ep) | seeker=-0.905  hid=0.95 (22ep) | barr=0.09 elev=0.09 rlock=0.02
Iter 93 | Steps 761856 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.952* hid=0.98 (22ep) | seeker=-0.750  hid=0.88 (22ep) | barr=0.09 elev=0.16 rlock=0.07
Iter 94 | Steps 770048 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.842  hid=0.92 (22ep) | seeker=-0.755  hid=0.88 (22ep) | barr=0.05 elev=0.10 rlock=0.05
Iter 95 | Steps 778240 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.836  hid=0.92 (22ep) | seeker=-0.837  hid=0.92 (22ep) | barr=0.14 elev=0.08 rlock=0.00
Iter 96 | Steps 786432 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.923  hid=0.96 (22ep) | seeker=-0.818  hid=0.91 (22ep) | barr=0.16 elev=0.15 rlock=0.05
Iter 97 | Steps 794624 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.643  hid=0.82 (22ep) | seeker=-0.835  hid=0.92 (22ep) | barr=0.14 elev=0.11 rlock=0.11
Iter 98 | Steps 802816 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.883  hid=0.94 (22ep) | seeker=-0.691  hid=0.85 (22ep) | barr=0.11 elev=0.08 rlock=0.07
Iter 99 | Steps 811008 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.827  hid=0.91 (22ep) | seeker=-0.644  hid=0.82 (22ep) | barr=0.20 elev=0.09 rlock=0.02
Iter 100 | Steps 819200 | Pools h=1 s=1 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.760  hid=0.88 (22ep) | seeker=-0.656  hid=0.83 (22ep) | barr=0.07 elev=0.14 rlock=0.05
Iter 101 | Steps 827392 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.937  hid=0.97 (22ep) | seeker=-0.671  hid=0.84 (22ep) | barr=0.07 elev=0.04 rlock=0.07
Iter 102 | Steps 835584 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.668  hid=0.83 (22ep) | seeker=-0.809  hid=0.90 (22ep) | barr=0.02 elev=0.12 rlock=0.07
Iter 103 | Steps 843776 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.827  hid=0.91 (22ep) | seeker=-0.876  hid=0.94 (22ep) | barr=0.11 elev=0.17 rlock=0.05
Iter 104 | Steps 851968 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.764  hid=0.88 (22ep) | seeker=-0.810  hid=0.91 (22ep) | barr=0.09 elev=0.07 rlock=0.05
Iter 105 | Steps 860160 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.891  hid=0.95 (22ep) | seeker=-0.851  hid=0.93 (22ep) | barr=0.11 elev=0.11 rlock=0.07
Iter 106 | Steps 868352 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.839  hid=0.92 (22ep) | seeker=-0.662  hid=0.83 (22ep) | barr=0.11 elev=0.13 rlock=0.05
Iter 107 | Steps 876544 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.753  hid=0.88 (22ep) | seeker=-0.730  hid=0.86 (22ep) | barr=0.09 elev=0.17 rlock=0.02
Iter 108 | Steps 884736 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.910  hid=0.96 (22ep) | seeker=-0.897  hid=0.95 (22ep) | barr=0.20 elev=0.08 rlock=0.07
Iter 109 | Steps 892928 | Pools h=2 s=2 | p2=0.00 | std h=0.98 s=0.98 | hider=+0.846  hid=0.92 (22ep) | seeker=-0.780  hid=0.89 (22ep) | barr=0.05 elev=0.07 rlock=0.05
Iter 110 | Steps 901120 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.728  hid=0.86 (22ep) | seeker=-0.784  hid=0.89 (22ep) | barr=0.07 elev=0.15 rlock=0.05
Iter 111 | Steps 909312 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.759  hid=0.88 (22ep) | seeker=-0.736  hid=0.87 (22ep) | barr=0.20 elev=0.13 rlock=0.02
Iter 112 | Steps 917504 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.840  hid=0.92 (22ep) | seeker=-0.753  hid=0.88 (22ep) | barr=0.07 elev=0.09 rlock=0.11
Iter 113 | Steps 925696 | Pools h=2 s=2 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.889  hid=0.94 (22ep) | seeker=-0.746  hid=0.87 (22ep) | barr=0.14 elev=0.11 rlock=0.02
