Iter 162 | Steps 331776 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.158  (9ep)
Iter 163 | Steps 333824 | Pools h=4 s=4 | hider=+1.727  (10ep) | seeker=-2.190  (8ep)
Iter 164 | Steps 335872 | Pools h=4 s=4 | hider=+1.909  (9ep) | seeker=-2.400  (8ep)
Iter 165 | Steps 337920 | Pools h=4 s=4 | hider=+2.270  (8ep) | seeker=-2.400  (8ep)
Iter 166 | Steps 339968 | Pools h=4 s=4 | hider=+2.237  (8ep) | seeker=-2.096  (9ep)
Iter 167 | Steps 342016 | Pools h=4 s=4 | hider=+2.177  (8ep) | seeker=-1.970  (9ep)
Iter 168 | Steps 344064 | Pools h=4 s=4 | hider=+2.260  (8ep) | seeker=-2.156  (8ep)
Iter 169 | Steps 346112 | Pools h=4 s=4 | hider=+2.040  (9ep) | seeker=-2.162  (9ep)
Iter 170 | Steps 348160 | Pools h=4 s=4 | hider=+1.427  (11ep) | seeker=-2.145  (8ep)
Iter 171 | Steps 350208 | Pools h=4 s=4 | hider=+2.265  (8ep) | seeker=-1.928  (9ep)
Iter 172 | Steps 352256 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.120  (9ep)
Iter 173 | Steps 354304 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 174 | Steps 356352 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.109  (9ep)
Iter 175 | Steps 358400 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.927  (9ep)
Iter 176 | Steps 360448 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.740  (10ep)
Iter 177 | Steps 362496 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.693  (9ep)
Iter 178 | Steps 364544 | Pools h=4 s=4 | hider=+2.157  (8ep) | seeker=-2.400  (8ep)
Iter 179 | Steps 366592 | Pools h=4 s=4 | hider=+1.792  (9ep) | seeker=-2.136  (8ep)
Iter 180 | Steps 368640 | Pools h=4 s=4 | hider=+2.232  (8ep) | seeker=-2.078  (9ep)
Iter 181 | Steps 370688 | Pools h=4 s=4 | hider=+2.235  (8ep) | seeker=-1.677  (9ep)
Iter 182 | Steps 372736 | Pools h=4 s=4 | hider=+2.162  (8ep) | seeker=-1.484  (10ep)
Iter 183 | Steps 374784 | Pools h=4 s=4 | hider=+1.721  (9ep) | seeker=-2.202  (8ep)
Iter 184 | Steps 376832 | Pools h=4 s=4 | hider=+1.923  (9ep) | seeker=-2.400  (8ep)
Iter 185 | Steps 378880 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.049  (9ep)
Iter 186 | Steps 380928 | Pools h=4 s=4 | hider=+2.164  (8ep) | seeker=-2.161  (9ep)
Iter 187 | Steps 382976 | Pools h=4 s=4 | hider=+1.914  (9ep) | seeker=-2.205  (8ep)
Iter 188 | Steps 385024 | Pools h=4 s=4 | hider=+1.979  (9ep) | seeker=-2.158  (9ep)
Iter 189 | Steps 387072 | Pools h=4 s=4 | hider=+1.968  (9ep) | seeker=-2.400  (8ep)
Iter 190 | Steps 389120 | Pools h=4 s=4 | hider=+2.147  (9ep) | seeker=-2.116  (9ep)
Iter 191 | Steps 391168 | Pools h=4 s=4 | hider=+1.850  (9ep) | seeker=-2.400  (8ep)
Iter 192 | Steps 393216 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.147  (9ep)
Iter 193 | Steps 395264 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 194 | Steps 397312 | Pools h=4 s=4 | hider=+2.150  (9ep) | seeker=-2.400  (8ep)
Iter 195 | Steps 399360 | Pools h=4 s=4 | hider=+2.163  (9ep) | seeker=-2.400  (8ep)
Iter 196 | Steps 401408 | Pools h=4 s=4 | hider=+2.151  (9ep) | seeker=-2.187  (8ep)
Iter 197 | Steps 403456 | Pools h=4 s=4 | hider=+1.639  (10ep) | seeker=-2.239  (8ep)
Iter 198 | Steps 405504 | Pools h=4 s=4 | hider=+1.988  (9ep) | seeker=-2.400  (8ep)
Iter 199 | Steps 407552 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.154  (9ep)
Iter 200 | Steps 409600 | Pools h=4 s=4 | hider=+1.811  (9ep) | seeker=-2.400  (8ep)
Iter 201 | Steps 411648 | Pools h=4 s=4 | hider=+2.101  (9ep) | seeker=-2.161  (8ep)
Iter 202 | Steps 413696 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 203 | Steps 415744 | Pools h=4 s=4 | hider=+1.988  (9ep) | seeker=-2.089  (9ep)
Iter 204 | Steps 417792 | Pools h=4 s=4 | hider=+2.209  (8ep) | seeker=-2.400  (8ep)
Iter 205 | Steps 419840 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.866  (9ep)
Iter 206 | Steps 421888 | Pools h=4 s=4 | hider=+2.242  (8ep) | seeker=-2.400  (8ep)
Iter 207 | Steps 423936 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 208 | Steps 425984 | Pools h=4 s=4 | hider=+2.215  (8ep) | seeker=-2.166  (8ep)
Iter 209 | Steps 428032 | Pools h=4 s=4 | hider=+1.939  (9ep) | seeker=-2.400  (8ep)
Iter 210 | Steps 430080 | Pools h=4 s=4 | hider=+2.207  (8ep) | seeker=-1.495  (10ep)
Iter 211 | Steps 432128 | Pools h=4 s=4 | hider=+2.266  (8ep) | seeker=-2.400  (8ep)
Iter 212 | Steps 434176 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.836  (10ep)
Iter 213 | Steps 436224 | Pools h=4 s=4 | hider=+1.824  (9ep) | seeker=-1.715  (10ep)
Iter 214 | Steps 438272 | Pools h=4 s=4 | hider=+1.912  (9ep) | seeker=-2.137  (9ep)
Iter 215 | Steps 440320 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.144  (9ep)
Iter 216 | Steps 442368 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 217 | Steps 444416 | Pools h=4 s=4 | hider=+1.904  (9ep) | seeker=-2.400  (8ep)
Iter 218 | Steps 446464 | Pools h=4 s=4 | hider=+2.123  (9ep) | seeker=-2.149  (8ep)
Iter 219 | Steps 448512 | Pools h=4 s=4 | hider=+1.978  (9ep) | seeker=-1.791  (9ep)
Iter 220 | Steps 450560 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.159  (8ep)
