[train_hs7] room+ramp 1v1 obs=28 steps=16000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] warm-started both nets from hs_ramp_*.pt
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 54 | Steps 110592 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.983  hid=0.99 (5ep) | seeker=-0.646  hid=0.82 (5ep) | barr=0.00 elev=0.12 rlock=0.00
Iter 55 | Steps 112640 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.994  hid=1.00 (5ep) | seeker=-0.863  hid=0.93 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 56 | Steps 114688 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.506  hid=0.75 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 57 | Steps 116736 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.635  hid=0.82 (5ep) | seeker=-0.785  hid=0.89 (5ep) | barr=0.00 elev=0.13 rlock=0.00
Iter 58 | Steps 118784 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.846  hid=0.92 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 59 | Steps 120832 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 60 | Steps 122880 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+0.757  hid=0.88 (5ep) | seeker=-0.813  hid=0.91 (5ep) | barr=0.00 elev=0.12 rlock=0.00
Iter 61 | Steps 124928 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+0.969  hid=0.98 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 62 | Steps 126976 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.956  hid=0.98 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 63 | Steps 129024 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+0.939  hid=0.97 (5ep) | seeker=-0.580  hid=0.79 (5ep) | barr=0.00 elev=0.12 rlock=0.00
Iter 64 | Steps 131072 | Pools h=6 s=6 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.915  hid=0.96 (5ep) | seeker=-0.900  hid=0.95 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 65 | Steps 133120 | Pools h=6 s=6 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.885  hid=0.94 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.10 rlock=0.00
Iter 66 | Steps 135168 | Pools h=6 s=6 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.696  hid=0.85 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.07 rlock=0.00
Iter 67 | Steps 137216 | Pools h=6 s=6 | pR=1.00 | std h=2.70 s=0.28 | hider=+0.580  hid=0.79 (5ep) | seeker=-0.693  hid=0.85 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 68 | Steps 139264 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.922  hid=0.96 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 69 | Steps 141312 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.807  hid=0.90 (5ep) | seeker=-0.900  hid=0.95 (5ep) | barr=0.00 elev=0.08 rlock=0.00
Iter 70 | Steps 143360 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.963  hid=0.98 (5ep) | seeker=-0.683  hid=0.84 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 71 | Steps 145408 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.852  hid=0.93 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 72 | Steps 147456 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.774  hid=0.89 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 73 | Steps 149504 | Pools h=6 s=6 | pR=1.00 | std h=2.66 s=0.28 | hider=+0.863  hid=0.93 (5ep) | seeker=-0.554  hid=0.78 (5ep) | barr=0.00 elev=0.14 rlock=0.00
Iter 74 | Steps 151552 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.611  hid=0.81 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 75 | Steps 153600 | Pools h=6 s=6 | pR=1.00 | std h=2.66 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.317* hid=0.66 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 76 | Steps 155648 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.878  hid=0.94 (5ep) | seeker=-0.952  hid=0.98 (5ep) | barr=0.00 elev=0.18 rlock=0.00
Iter 77 | Steps 157696 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.937  hid=0.97 (5ep) | seeker=-0.878  hid=0.94 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 78 | Steps 159744 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.963  hid=0.98 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 79 | Steps 161792 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.967  hid=0.98 (5ep) | barr=0.00 elev=0.03 rlock=0.00
