[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 74 | Steps 592000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.536  hid=0.77 (20ep) | seeker=-0.665  hid=0.83 (20ep) | barr=0.68 elev=0.21 rlock=0.12
Iter 75 | Steps 600000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.88 s=0.62 | hider=+0.565  hid=0.78 (20ep) | seeker=-0.522  hid=0.76 (20ep) | barr=0.78 elev=0.28 rlock=0.07
Iter 76 | Steps 608000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.89 s=0.61 | hider=+0.522  hid=0.76 (20ep) | seeker=-0.610  hid=0.80 (20ep) | barr=0.82 elev=0.22 rlock=0.03
Iter 77 | Steps 616000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.436  hid=0.72 (20ep) | seeker=-0.408  hid=0.70 (20ep) | barr=0.85 elev=0.23 rlock=0.12
Iter 78 | Steps 624000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.395  hid=0.70 (20ep) | seeker=-0.500  hid=0.75 (20ep) | barr=0.72 elev=0.36 rlock=0.03
Iter 79 | Steps 632000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.89 s=0.61 | hider=+0.745* hid=0.87 (20ep) | seeker=-0.086  hid=0.54 (20ep) | barr=0.62 elev=0.32 rlock=0.05
Iter 80 | Steps 640000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.457  hid=0.73 (20ep) | seeker=-0.686  hid=0.84 (20ep) | barr=0.62 elev=0.20 rlock=0.07
Iter 81 | Steps 648000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.375  hid=0.69 (20ep) | seeker=-0.622  hid=0.81 (20ep) | barr=0.72 elev=0.30 rlock=0.05
Iter 82 | Steps 656000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.416  hid=0.71 (20ep) | seeker=-0.350  hid=0.68 (20ep) | barr=0.72 elev=0.27 rlock=0.03
Iter 83 | Steps 664000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.530  hid=0.77 (20ep) | seeker=-0.489  hid=0.74 (20ep) | barr=0.90 elev=0.27 rlock=0.00
Iter 84 | Steps 672000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.619  hid=0.81 (20ep) | seeker=-0.533  hid=0.77 (20ep) | barr=0.85 elev=0.22 rlock=0.05
Iter 85 | Steps 680000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.362  hid=0.68 (20ep) | seeker=-0.503  hid=0.75 (20ep) | barr=0.70 elev=0.28 rlock=0.03
Iter 86 | Steps 688000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.819* hid=0.91 (20ep) | seeker=-0.400  hid=0.70 (20ep) | barr=0.82 elev=0.21 rlock=0.00
