[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=100000000 s2=0-0 hidden=256
[vec] warm-started both teams from hs_lstm20m_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:221: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 83 | Steps 664000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.702  hid=0.85 (20ep) | seeker=-0.313  hid=0.66 (20ep) | barr=0.20 elev=0.29 rlock=0.03
Iter 84 | Steps 672000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.693  hid=0.85 (20ep) | seeker=-0.422  hid=0.71 (20ep) | barr=0.17 elev=0.25 rlock=0.07
Iter 85 | Steps 680000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.629  hid=0.81 (20ep) | seeker=-0.231  hid=0.62 (20ep) | barr=0.20 elev=0.22 rlock=0.05
Iter 86 | Steps 688000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.599  hid=0.80 (20ep) | seeker=-0.494  hid=0.75 (20ep) | barr=0.23 elev=0.19 rlock=0.07
Iter 87 | Steps 696000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.582  hid=0.79 (20ep) | seeker=-0.181  hid=0.59 (20ep) | barr=0.15 elev=0.27 rlock=0.05
Iter 88 | Steps 704000 | Pools h=5 s=5 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.459  hid=0.73 (20ep) | seeker=-0.628  hid=0.81 (20ep) | barr=0.20 elev=0.23 rlock=0.05
Iter 89 | Steps 712000 | Pools h=5 s=5 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.583  hid=0.79 (20ep) | seeker=-0.708  hid=0.85 (20ep) | barr=0.20 elev=0.19 rlock=0.03
Iter 90 | Steps 720000 | Pools h=5 s=5 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.540  hid=0.77 (20ep) | seeker=-0.336  hid=0.67 (20ep) | barr=0.15 elev=0.19 rlock=0.00
Iter 91 | Steps 728000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.089  hid=0.54 (20ep) | seeker=-0.737  hid=0.87 (20ep) | barr=0.20 elev=0.31 rlock=0.05
Iter 92 | Steps 736000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.331  hid=0.67 (20ep) | seeker=-0.375  hid=0.69 (20ep) | barr=0.20 elev=0.28 rlock=0.10
Iter 93 | Steps 744000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.626  hid=0.81 (20ep) | seeker=-0.392  hid=0.70 (20ep) | barr=0.07 elev=0.17 rlock=0.03
