[train_hs7] room+ramp 1v1 obs=28 steps=30000000 ramp=10000000-14000000 saving to hs_ramp_*.pt
Iter 85 | Steps 174080 | Pools h=6 s=6 | pR=0.00 | hider=+0.478  hid=0.74 (5ep) | seeker=-0.956  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 86 | Steps 176128 | Pools h=6 s=6 | pR=0.00 | hider=+0.815  hid=0.91 (5ep) | seeker=-0.720  hid=0.86 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 87 | Steps 178176 | Pools h=6 s=6 | pR=0.00 | hider=+0.391  hid=0.70 (5ep) | seeker=-0.967  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 88 | Steps 180224 | Pools h=6 s=6 | pR=0.00 | hider=+0.983  hid=0.99 (5ep) | seeker=-0.650  hid=0.82 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 89 | Steps 182272 | Pools h=6 s=6 | pR=0.00 | hider=+0.180  hid=0.59 (5ep) | seeker=-0.981  hid=0.99 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 90 | Steps 184320 | Pools h=6 s=6 | pR=0.00 | hider=+0.544  hid=0.77 (5ep) | seeker=-0.313  hid=0.66 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 91 | Steps 186368 | Pools h=6 s=6 | pR=0.00 | hider=+0.994  hid=1.00 (5ep) | seeker=-0.402  hid=0.70 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 92 | Steps 188416 | Pools h=6 s=6 | pR=0.00 | hider=+0.739  hid=0.87 (5ep) | seeker=-0.963  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 93 | Steps 190464 | Pools h=6 s=6 | pR=0.00 | hider=+0.757  hid=0.88 (5ep) | seeker=-0.643  hid=0.82 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 94 | Steps 192512 | Pools h=6 s=6 | pR=0.00 | hider=+0.898  hid=0.95 (5ep) | seeker=-0.678  hid=0.84 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 95 | Steps 194560 | Pools h=6 s=6 | pR=0.00 | hider=+0.269  hid=0.63 (5ep) | seeker=-0.889  hid=0.94 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 96 | Steps 196608 | Pools h=6 s=6 | pR=0.00 | hider=+0.809  hid=0.90 (5ep) | seeker=-0.537  hid=0.77 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 97 | Steps 198656 | Pools h=6 s=6 | pR=0.00 | hider=+0.719  hid=0.86 (5ep) | seeker=-0.909  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 98 | Steps 200704 | Pools h=6 s=6 | pR=0.00 | hider=+0.322  hid=0.66 (5ep) | seeker=-0.944  hid=0.97 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 99 | Steps 202752 | Pools h=6 s=6 | pR=0.00 | hider=+0.485  hid=0.74 (5ep) | seeker=-0.589  hid=0.79 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 100 | Steps 204800 | Pools h=6 s=6 | pR=0.00 | hider=+0.559  hid=0.78 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.20 elev=nan rlock=nan
Iter 101 | Steps 206848 | Pools h=6 s=6 | pR=0.00 | hider=+0.107  hid=0.55 (5ep) | seeker=-0.926  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 102 | Steps 208896 | Pools h=6 s=6 | pR=0.00 | hider=+0.987  hid=0.99 (5ep) | seeker=-0.763  hid=0.88 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 103 | Steps 210944 | Pools h=6 s=6 | pR=0.00 | hider=+0.922  hid=0.96 (5ep) | seeker=-0.993  hid=1.00 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 104 | Steps 212992 | Pools h=6 s=6 | pR=0.00 | hider=+0.993  hid=1.00 (5ep) | seeker=-0.939  hid=0.97 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 105 | Steps 215040 | Pools h=6 s=6 | pR=0.00 | hider=+0.472  hid=0.74 (5ep) | seeker=-0.915  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
