[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 72 | Steps 576000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.554  hid=0.78 (20ep) | seeker=-0.422  hid=0.71 (20ep) | barr=0.72 elev=0.26 rlock=0.05
Iter 73 | Steps 584000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.296  hid=0.65 (20ep) | seeker=-0.525  hid=0.76 (20ep) | barr=0.80 elev=0.31 rlock=0.05
Iter 74 | Steps 592000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.369  hid=0.68 (20ep) | seeker=-0.729  hid=0.86 (20ep) | barr=0.78 elev=0.26 rlock=0.07
Iter 75 | Steps 600000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.200  hid=0.60 (20ep) | seeker=-0.673  hid=0.84 (20ep) | barr=0.75 elev=0.32 rlock=0.00
Iter 76 | Steps 608000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.425  hid=0.71 (20ep) | seeker=-0.151  hid=0.58 (20ep) | barr=0.80 elev=0.36 rlock=0.00
Iter 77 | Steps 616000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.492  hid=0.75 (20ep) | seeker=-0.656  hid=0.83 (20ep) | barr=0.78 elev=0.23 rlock=0.03
Iter 78 | Steps 624000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.331  hid=0.67 (20ep) | seeker=-0.521  hid=0.76 (20ep) | barr=0.72 elev=0.28 rlock=0.05
Iter 79 | Steps 632000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.458  hid=0.73 (20ep) | seeker=-0.650  hid=0.82 (20ep) | barr=0.60 elev=0.25 rlock=0.03
Iter 80 | Steps 640000 | Pools h=4 s=4 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.762  hid=0.88 (20ep) | seeker=-0.511  hid=0.76 (20ep) | barr=0.68 elev=0.18 rlock=0.07
Iter 81 | Steps 648000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.516  hid=0.76 (20ep) | seeker=-0.500  hid=0.75 (20ep) | barr=0.70 elev=0.25 rlock=0.07
Iter 82 | Steps 656000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.620  hid=0.81 (20ep) | seeker=-0.306  hid=0.65 (20ep) | barr=0.65 elev=0.27 rlock=0.07
Iter 83 | Steps 664000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.262  hid=0.63 (20ep) | seeker=-0.490  hid=0.74 (20ep) | barr=0.78 elev=0.33 rlock=0.00
Iter 84 | Steps 672000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.236  hid=0.62 (20ep) | seeker=-0.395  hid=0.70 (20ep) | barr=0.80 elev=0.34 rlock=0.03
Iter 85 | Steps 680000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.373  hid=0.69 (20ep) | seeker=-0.506  hid=0.75 (20ep) | barr=0.80 elev=0.27 rlock=0.10
Iter 86 | Steps 688000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.447  hid=0.72 (20ep) | seeker=-0.266  hid=0.63 (20ep) | barr=0.65 elev=0.33 rlock=0.12
Iter 87 | Steps 696000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.536  hid=0.77 (20ep) | seeker=-0.505  hid=0.75 (20ep) | barr=0.78 elev=0.27 rlock=0.07
Iter 88 | Steps 704000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.669  hid=0.83 (20ep) | seeker=-0.467  hid=0.73 (20ep) | barr=0.68 elev=0.22 rlock=0.03
Iter 89 | Steps 712000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.612  hid=0.81 (20ep) | seeker=-0.457  hid=0.73 (20ep) | barr=0.68 elev=0.26 rlock=0.05
Iter 90 | Steps 720000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.762  hid=0.88 (20ep) | seeker=-0.435  hid=0.72 (20ep) | barr=0.85 elev=0.21 rlock=0.03
Iter 91 | Steps 728000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.535  hid=0.77 (20ep) | seeker=-0.567  hid=0.78 (20ep) | barr=0.90 elev=0.25 rlock=0.03
Iter 92 | Steps 736000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.475  hid=0.74 (20ep) | seeker=-0.434  hid=0.72 (20ep) | barr=0.72 elev=0.29 rlock=0.05
Iter 93 | Steps 744000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.90 s=0.61 | hider=+0.405  hid=0.70 (20ep) | seeker=-0.474  hid=0.74 (20ep) | barr=0.72 elev=0.29 rlock=0.10
Iter 94 | Steps 752000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.61 | hider=+0.356  hid=0.68 (20ep) | seeker=-0.606  hid=0.80 (20ep) | barr=0.80 elev=0.29 rlock=0.05
Iter 95 | Steps 760000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.778  hid=0.89 (20ep) | seeker=-0.717  hid=0.86 (20ep) | barr=0.80 elev=0.21 rlock=0.05
Iter 96 | Steps 768000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.505  hid=0.75 (20ep) | seeker=-0.466  hid=0.73 (20ep) | barr=0.78 elev=0.28 rlock=0.03
Iter 97 | Steps 776000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.221  hid=0.61 (20ep) | seeker=-0.538  hid=0.77 (20ep) | barr=0.82 elev=0.36 rlock=0.03
Iter 98 | Steps 784000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.521  hid=0.76 (20ep) | seeker=-0.493  hid=0.75 (20ep) | barr=0.80 elev=0.18 rlock=0.10
Iter 99 | Steps 792000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.416  hid=0.71 (20ep) | seeker=-0.366  hid=0.68 (20ep) | barr=0.75 elev=0.36 rlock=0.05
Iter 100 | Steps 800000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.479  hid=0.74 (20ep) | seeker=-0.463  hid=0.73 (20ep) | barr=0.90 elev=0.29 rlock=0.00
